Option,Criterion,Vote,Participant Id,Decision,Incentive,Cohor,Decision Date
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Important Problem,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Non-excludable,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Non-rivalrous,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Team Track record,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Fraudulent impersonation,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Has Harmful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Has Hateful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Ethereum Connection,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Already Funded,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Fundraising / Advertising,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Open Source,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Quid Pro Quo,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Important Problem,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Non-excludable,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Non-rivalrous,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6599: Arcfund fundraising platform,Team Track record,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Fraudulent impersonation,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Has Harmful Content,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Has Hateful Content,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Already Funded,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Ethereum Connection,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Fundraising / Advertising,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Open Source,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Important Problem,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Non-excludable,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Non-rivalrous,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6600: SkillBlock,Team Track record,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Has Hateful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Has Harmful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Fraudulent impersonation,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Already Funded,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Ethereum Connection,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Fundraising / Advertising,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Open Source,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Quid Pro Quo,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Important Problem,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Non-excludable,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6601: GMGH,Non-rivalrous,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6617: Compass Labs,Already Funded,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6617: Compass Labs,Ethereum Connection,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6617: Compass Labs,Fundraising / Advertising,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6617: Compass Labs,Open Source,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6617: Compass Labs,Quid Pro Quo,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6617: Compass Labs,Fraudulent impersonation,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6617: Compass Labs,Has Harmful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6617: Compass Labs,Has Hateful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6643: Uncommon analytics for NFTs and tokens - HypeReveal,Important Problem,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6643: Uncommon analytics for NFTs and tokens - HypeReveal,Non-excludable,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6643: Uncommon analytics for NFTs and tokens - HypeReveal,Non-rivalrous,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6643: Uncommon analytics for NFTs and tokens - HypeReveal,Team Track record,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6635: ServDAO - Building the most rewarding and inclusive veterans community.,Important Problem,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6635: ServDAO - Building the most rewarding and inclusive veterans community.,Non-excludable,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6635: ServDAO - Building the most rewarding and inclusive veterans community.,Non-rivalrous,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6635: ServDAO - Building the most rewarding and inclusive veterans community.,Team Track record,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Already Funded,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Ethereum Connection,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Fundraising / Advertising,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Open Source,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Quid Pro Quo,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Already Funded,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Ethereum Connection,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Fundraising / Advertising,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Open Source,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Quid Pro Quo,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6657: Build web3 without code,Fraudulent impersonation,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6657: Build web3 without code,Has Harmful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6657: Build web3 without code,Has Hateful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6627: Wuji Games - Regenerative Gaming,Important Problem,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6627: Wuji Games - Regenerative Gaming,Non-excludable,Very Weak,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6627: Wuji Games - Regenerative Gaming,Non-rivalrous,Very Weak,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6627: Wuji Games - Regenerative Gaming,Team Track record,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Important Problem,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Non-excludable,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Non-rivalrous,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6629: Ambient Landscapes: NFT Media Player and Creation Suite,Team Track record,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6656: Best online essay writing services,Important Problem,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6656: Best online essay writing services,Non-excludable,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6656: Best online essay writing services,Non-rivalrous,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6656: Best online essay writing services,Team Track record,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6656: Best online essay writing services,Fraudulent impersonation,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6656: Best online essay writing services,Has Harmful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6656: Best online essay writing services,Has Hateful Content,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6657: Build web3 without code,Already Funded,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6657: Build web3 without code,Ethereum Connection,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6657: Build web3 without code,Fundraising / Advertising,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6657: Build web3 without code,Open Source,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6657: Build web3 without code,Quid Pro Quo,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Already Funded,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Ethereum Connection,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Fundraising / Advertising,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Open Source,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Quid Pro Quo,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Important Problem,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Non-excludable,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Non-rivalrous,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Team Track record,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Fraudulent impersonation,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Has Harmful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6648: No reason just help me lol,Has Hateful Content,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6643: Uncommon analytics for NFTs and tokens - HypeReveal,Fraudulent impersonation,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6643: Uncommon analytics for NFTs and tokens - HypeReveal,Has Harmful Content,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6643: Uncommon analytics for NFTs and tokens - HypeReveal,Has Hateful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Fraudulent impersonation,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Has Harmful Content,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Has Hateful Content,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Important Problem,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Non-excludable,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Non-rivalrous,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Team Track record,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Already Funded,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Ethereum Connection,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Fundraising / Advertising,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Open Source,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6640: HUPB DAO,Quid Pro Quo,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6660: ETH SD,Already Funded,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6660: ETH SD,Ethereum Connection,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6660: ETH SD,Fundraising / Advertising,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6660: ETH SD,Open Source,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6660: ETH SD,Quid Pro Quo,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6636: The Petricor Experiment,Fraudulent impersonation,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6636: The Petricor Experiment,Has Harmful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6636: The Petricor Experiment,Has Hateful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6636: The Petricor Experiment,Important Problem,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6636: The Petricor Experiment,Non-excludable,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6636: The Petricor Experiment,Non-rivalrous,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6636: The Petricor Experiment,Team Track record,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Important Problem,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Non-excludable,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Non-rivalrous,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6646: Hiver,Team Track record,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Fraudulent impersonation,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Has Harmful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Has Hateful Content,Acceptable,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Important Problem,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Non-excludable,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Non-rivalrous,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Team Track record,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Already Funded,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Ethereum Connection,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Fundraising / Advertising,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6632: eth my song,Open Source,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
